country,year,CO2,GHG(Indirect CO2),GHG,HFC,CH4,NF3,N2O,PFC,SF6,HFC+PFC
Bulgaria,1996,57581.194759982,null,74381.0874490975,11.5548883843048,11936.1665164785,null,4846.99043437078,null,5.180849881944,null
Bulgaria,1997,54790.1341566389,null,70904.4217910549,18.3595783062778,11500.6452771229,null,4589.80143981182,null,5.481339175032,null
Bulgaria,1998,52143.3567693638,null,66848.6646412359,28.7207624704373,10886.0585680953,null,3784.72928445926,null,5.799256847172,null
Bulgaria,1999,45751.789097251,null,60090.1077393019,40.9869783633625,10347.0350775991,null,3944.16097234411,null,6.135613744344,null
Bulgaria,2000,44896.670545605,null,59155.0562483881,57.3333083815516,10189.3400582433,null,4005.22085681668,null,6.491479341588,null
Bulgaria,2001,48568.9178318705,null,62221.3358318171,75.173696005058,9491.66889604972,null,4078.70742274843,null,6.867985143396,null
Bulgaria,2002,45786.2947197982,null,59282.0058646666,96.60038738008,9374.21254846974,null,4017.6318807371,null,7.266328281552,null
Bulgaria,2003,49971.1515762142,null,64021.3665065844,126.503550018592,10063.7203689356,null,3852.30323609396,null,7.687775322048,null
Bulgaria,2004,49170.3376894348,null,63230.7295111967,180.343809534901,9476.23778253349,null,4395.67656340284,null,8.133666290652,null
Bulgaria,2005,50191.1160644292,null,63458.9027666762,298.763523386316,8720.07593547376,null,4240.78225222001,null,8.164991166876,null
Bulgaria,2006,51446.2829381283,null,64118.3955574349,447.162429026166,8446.72532215926,null,3769.7414422988,null,8.483425822404,null
Bulgaria,2007,55184.4241047849,null,67942.4186287919,545.197085531365,8389.98329896053,null,3813.99986008563,null,8.81427942954,null
Bulgaria,2008,53655.1401671903,null,66725.3093572301,841.835316770012,8164.02518762776,null,4055.12998711494,0.0206622,9.158036327088,null
Bulgaria,2009,45487.8735503956,null,57835.9727354584,897.324880013531,7794.83836774708,null,3646.36487014831,0.05586741,9.51519974388,null
Bulgaria,2010,47678.6489573594,null,60519.1962784763,927.068108171378,7782.63795680577,null,4118.30970080681,0.063742887,12.467812445988,null
Bulgaria,2011,53020.9811161954,null,65857.6040846686,1038.93300468063,8015.19767643603,null,3768.2482137874,0.05530833855,14.1887652306,null
Bulgaria,2012,48117.5560830313,null,60723.4910151811,1109.35923014509,7643.91941086577,null,3833.31577398217,0.0464831354475,19.294034021352,null
Bulgaria,2013,42534.9272034699,null,55597.025746429,1277.85761926218,7526.88575101646,null,4237.59451933528,0.03908750327438,19.721565841944,null
Bulgaria,2014,45139.955286201,null,57807.5929696422,1423.81285948304,7420.5096990517,null,3807.66613870328,0.03288584829846,15.616100354844,null
Canada,1990,463493.332387577,616908.110877472,612866.051520472,970.584,95378.2519424985,0.324454149276,42239.7307721834,7557.90185934868,3225.92610471538,null
Canada,1991,454246.137946001,611861.12927,605548.115938,1056.72,97516.5116855337,0.315783686724,41010.0740664717,8033.11321531272,3685.24324099416,null
Canada,1992,468546.458912059,625134.003492663,622763.761065663,829.836,101927.841562881,0.307113224,41323.5177157639,7578.68311306545,2557.11664866899,null
Canada,1993,467607.237235461,631353.636876568,624641.473381568,null,105204.361166736,0.298442761276,42000.4456435488,7455.58343575615,2373.5474573055,null
Canada,1994,482691.671271798,652999.137826791,646008.211066791,null,108917.321071169,0.289772298724,45062.1701912386,6895.01454213527,2441.74421815087,null
Canada,1995,497224.83692526,688384.405366886,665304.278405886,693.369077173043,113111.078283263,0.281101836,45650.3327877802,6349.22019719877,2275.1600333752,null
